订单ID,用户名,平台ID,任务类型,状态,已支付,价格,创建时间,开始时间,完成时间,备注
ORD-1DCF7CCD,231020250606,1,full,completed,1,16.3,2026-05-18T15:14:13.983441,2026-05-18T15:16:15.806677,2026-05-18T16:20:51.495965,考试 2/6: 25-26-2学期创新思维期末考试
ORD-123FE00C,251050250504,2,video,completed,1,1.9,2026-05-18T14:58:11.660814,2026-05-18T14:58:34.225294,2026-05-18T15:22:06.158837,
ORD-D311F3B7,251110150432,2,video,cancelled,0,1.8,2026-05-18T14:55:16.073731,,2026-05-18T15:00:53.820458,
ORD-E2596F19,251050250504,2,video,cancelled,0,1.9,2026-05-18T14:51:26.692021,,2026-05-18T14:56:53.609757,
ORD-6DD5439E,251110150432,2,video,cancelled,0,1.8,2026-05-18T14:47:11.025048,,2026-05-18T14:52:53.471883,
ORD-5D66559F,251050250504,2,video,cancelled,0,1.9,2026-05-18T14:45:53.357090,,2026-05-18T14:50:53.447583,
ORD-3F24EF6A,231010352205,2,video,completed,1,3.2,2026-05-18T14:41:58.496475,2026-05-18T14:42:21.890161,2026-05-18T15:07:08.488587,
ORD-C60BB66C,241080760215,3,video,completed,1,1.15,2026-05-18T14:04:57.881606,2026-05-18T14:05:19.524748,2026-05-18T15:06:24.644832,
ORD-634FC497,241080760215,1,exam,completed,1,0.4,2026-05-18T14:04:57.605399,2026-05-18T14:05:18.585354,2026-05-18T14:06:57.870531,
ORD-89E6B6F7,251060560108,1,full,completed,1,1.1,2026-05-18T11:29:35.888798,2026-05-18T11:30:07.532742,2026-05-18T12:02:25.513272,考试 1/3: Prefix
ORD-0627C2C1,231010352802,2,full,completed,1,1.2,2026-05-18T09:59:43.740070,2026-05-18T10:00:03.948960,2026-05-18T10:17:54.372758,平台实际进度仅0%，未达到完成标准(95%)
ORD-79B85D73,231010352802,2,full,cancelled,0,1.2,2026-05-18T09:54:24.118608,,2026-05-18T09:59:33.719547,
ORD-5EE522FB,231010352802,1,full,cancelled,0,0.55,2026-05-18T09:50:42.935326,,2026-05-18T09:56:33.644049,
ORD-6900FE1D,231010352802,2,full,cancelled,0,1.2,2026-05-18T09:48:10.731586,,2026-05-18T09:53:33.540570,
ORD-0DAFDCF0,231020250609,2,full,accepted,1,1.7,2026-05-18T09:02:32.833490,,2026-05-18T09:08:03.887873,
ORD-B8C71A39,241031460112,2,full,cancelled,0,2.4,2026-05-18T08:13:36.150607,,2026-05-18T08:20:01.114717,
ORD-B13422CC,231010352703,2,full,completed,1,1.7,2026-05-18T07:44:58.251802,2026-05-18T07:45:22.369392,2026-05-18T08:03:28.451771,上报完成但平台进度仅0%，可能被平台限制
ORD-FB2FBBA2,241080660109,3,video,completed,1,1.3,2026-05-18T06:45:45.527196,2026-05-18T06:46:10.693062,2026-05-18T07:23:45.534379,平台实际进度仅0%，未达到完成标准(95%)
ORD-8E086EF1,241080660109,2,full,completed,1,2.35,2026-05-18T06:45:45.499255,2026-05-18T06:46:10.508528,2026-05-18T07:24:08.667388,平台实际进度仅0%，未达到完成标准(95%)
ORD-26C1AB23,231010350731,2,full,completed,1,1.7,2026-05-18T04:24:55.201766,2026-05-18T05:24:19.052777,2026-05-18T05:43:25.270507,自动重新入队（修复or→and bug后）
ORD-D57A46EC,231010350731,2,full,completed,1,1.7,2026-05-18T04:13:20.122146,2026-05-18T05:24:18.522557,2026-05-18T05:43:25.268319,考试 1/1: 毕业论文写作与答辩期末考试
ORD-467A4E50,231010350731,2,full,completed,1,1.7,2026-05-18T04:03:05.368759,2026-05-18T05:24:17.984424,2026-05-18T05:43:28.264433,自动重新入队（修复or→and bug后）
ORD-32C1061D,231010350731,2,full,completed,0,1.7,2026-05-18T03:52:01.083721,2026-05-18T03:54:16.146526,2026-05-18T03:55:59.347514,
ORD-7F44C37C,231060150702,2,exam,cancelled,0,0.1,2026-05-18T03:21:46.662986,,2026-05-18T03:26:59.886862,
ORD-A7D2C827,231090350213,2,exam,completed,1,0.1,2026-05-18T02:55:33.796500,2026-05-18T02:56:02.302249,2026-05-18T02:58:05.865286,
ORD-ADFC4B5A,251050250502,2,full,cancelled,0,0.45,2026-05-18T02:52:52.185417,,2026-05-18T02:57:59.685840,
ORD-DFBB126F,231070751007,2,exam,completed,1,0.1,2026-05-18T02:36:18.826696,2026-05-18T02:37:30.932252,2026-05-18T02:49:36.445766,
ORD-16733CB2,231070751007,2,exam,cancelled,0,0.1,2026-05-18T02:30:21.558959,,2026-05-18T02:35:59.543733,
ORD-6078DBD0,231010251203,2,exam,completed,1,0.1,2026-05-18T02:28:12.396264,2026-05-18T02:28:54.758779,2026-05-18T02:40:46.091585,
ORD-86A40003,231010251206,2,exam,completed,1,0.1,2026-05-18T02:22:32.159592,2026-05-18T02:22:56.248858,2026-05-18T02:24:39.649759,
ORD-B9EB6D88,241010150303,2,full,completed,1,0.9,2026-05-18T02:04:18.704307,2026-05-18T05:24:17.444503,2026-05-18T05:43:35.251546,自动重新入队（修复or→and bug后）
ORD-77EC9A6A,241070150114,2,full,completed,1,2.4,2026-05-18T02:02:01.561313,2026-05-18T05:24:16.900146,2026-05-18T05:41:04.308299,自动重新入队（修复or→and bug后）
ORD-4D3C1083,241070751007,3,video,completed,1,1.3,2026-05-18T01:46:32.404383,2026-05-18T05:24:16.364797,2026-05-18T05:29:37.259714,自动重新入队（修复or→and bug后）
ORD-49575F99,241070751007,2,full,completed,1,2.4,2026-05-18T01:46:32.398564,2026-05-18T05:24:15.829963,2026-05-18T05:25:29.713700,考试部分失败
ORD-8784BDE0,233811340304,2,full,completed,1,4.1,2026-05-18T01:44:08.914259,2026-05-18T05:24:15.298942,2026-05-18T05:25:19.719637,考试 1/2: 艺术鉴赏与评论期末考试
ORD-36007872,251050250504,2,full,cancelled,0,1.05,2026-05-18T01:36:01.301219,,2026-05-18T01:41:59.231578,
ORD-5BFC1D93,251050250502,1,exam,completed,1,0.2,2026-05-18T01:29:53.447907,2026-05-18T05:24:14.764736,2026-05-18T05:32:24.721801,考试部分失败
ORD-D3CBC670,251050250502,2,full,completed,1,0.45,2026-05-18T01:26:05.080500,2026-05-18T01:26:30.445020,2026-05-18T01:48:35.077121,
ORD-C40062C9,251010359902,2,exam,completed,1,0.1,2026-05-18T00:40:49.923450,2026-05-18T00:41:29.047201,2026-05-18T00:43:05.801320,
ORD-9D376AF4,251060150506,2,exam,completed,0,0.1,2026-05-17T22:31:01.684193,2026-05-17T22:35:56.850792,2026-05-17T22:36:04.615683,考试部分失败
ORD-0BD5E470,251060150506,2,exam,completed,1,0.1,2026-05-17T22:25:46.619393,2026-05-17T22:25:56.360800,2026-05-17T22:26:02.723695,
ORD-70025A42,251060150506,2,exam,completed,1,0.1,2026-05-17T22:22:28.318296,2026-05-17T22:22:44.133255,2026-05-17T22:22:50.294995,
ORD-004B4664,251060150506,2,exam,completed,1,0.1,2026-05-17T22:13:45.325694,2026-05-17T22:14:01.260061,2026-05-17T22:14:08.079401,
ORD-4159B902,251060150506,2,exam,completed,1,0.1,2026-05-17T22:08:50.929478,2026-05-17T22:09:06.776731,2026-05-17T22:09:13.647630,
ORD-DE593DA3,251060150506,2,exam,completed,1,0.1,2026-05-17T22:07:25.152353,2026-05-17T22:07:37.854711,2026-05-17T22:07:45.452609,
ORD-5B64331C,251060150506,2,exam,completed,1,0.1,2026-05-17T21:59:39.298019,2026-05-17T21:59:52.085484,2026-05-17T21:59:58.314111,
ORD-C0C9B712,251060150506,2,exam,completed,1,0.1,2026-05-17T21:31:07.179522,2026-05-17T21:31:29.350015,2026-05-17T21:31:35.493706,
ORD-57F41DD4,251060150506,1,exam,completed,1,1.5,2026-05-17T21:31:07.163893,2026-05-17T21:31:29.313308,2026-05-17T21:32:59.982704,
ORD-C050A6A7,251060150506,2,exam,completed,1,0.1,2026-05-17T21:20:09.927243,2026-05-17T21:20:25.889090,2026-05-17T21:20:33.604631,
ORD-6628CF92,251060150506,1,exam,completed,1,1.5,2026-05-17T21:20:09.921191,2026-05-17T21:20:25.847486,2026-05-17T21:20:30.595505,
ORD-CC425D41,251060150506,2,exam,completed,1,0.1,2026-05-17T21:18:06.879303,2026-05-17T21:18:29.210083,2026-05-17T21:18:35.381159,
ORD-6F606A9E,251060150506,1,exam,completed,1,1.9,2026-05-17T21:18:06.866971,2026-05-17T21:18:29.173555,2026-05-17T21:18:56.414530,
ORD-D4714714,251010250831,1,video,completed,1,11.05,2026-05-17T17:32:44.075832,2026-05-17T17:35:12.096667,2026-05-17T18:53:53.932256,
ORD-DE6BF161,231110150301,2,video,completed,1,1.15,2026-05-17T17:07:26.446094,2026-05-17T17:07:42.070027,2026-05-17T17:25:26.134416,
ORD-8FF2CF4E,231020750414,2,video,completed,1,0.45,2026-05-17T17:06:00.323138,2026-05-17T17:06:19.032981,2026-05-17T17:24:13.925917,
ORD-26F71A85,251060560128,1,video,completed,1,1.75,2026-05-17T16:58:13.749360,2026-05-17T16:59:26.212013,2026-05-17T19:40:14.576302,
ORD-0DCDCE65,241070751009,1,video,completed,1,0.1,2026-05-17T15:14:31.187108,2026-05-17T15:14:53.287015,2026-05-17T16:15:34.268409,
ORD-120BFB64,251060150506,2,video,completed,1,0.25,2026-05-17T15:10:29.213421,2026-05-17T15:10:45.132235,2026-05-17T15:59:23.493525,
ORD-7F8FDD1B,251010250831,1,video,cancelled,0,11.05,2026-05-17T08:14:03.158444,,2026-05-17T08:20:40.640058,
ORD-41D8E6E7,241070751009,1,video,completed,1,0.8,2026-05-17T07:19:57.415234,2026-05-17T07:20:22.163523,2026-05-17T08:12:00.768088,
